title,author,length
1. Atomic Habits,Written by: James Clear,Length: 5 hrs and 35 mins
2. The Psychology of Money,Written by: Morgan Housel,Length: 5 hrs and 48 mins
3. Ikigai,"Written by: Héctor García, Francesc Miralles",Length: 3 hrs and 23 mins
4. How to Talk to Anyone,Written by: Leil Lowndes,Length: 8 hrs and 59 mins
5. Rich Dad Poor Dad,Written by: Robert T. Kiyosaki,Length: 6 hrs and 9 mins
6. The Power of Your Subconscious Mind,Written by: Joseph Murphy,Length: 7 hrs and 13 mins
7. The Subtle Art of Not Giving a F*ck,Written by: Mark Manson,Length: 5 hrs and 17 mins
8. Sapiens,Written by: Yuval Noah Harari,Length: 15 hrs and 18 mins
9. Let's Talk Mutual Funds,Written by: Monika Halan,Length: 7 hrs and 5 mins
"10. Thinking, Fast and Slow",Written by: Daniel Kahneman,Length: 20 hrs
11. Clear Thinking,Written by: Shane Parrish,Length: 6 hrs and 41 mins
12. Can't Hurt Me,Written by: David Goggins,Length: 13 hrs and 37 mins
13. The 48 Laws of Power,Written by: Robert Greene,Length: 9 hrs and 52 mins
14. The Courage to Be Disliked ,"Written by: Fumitake Koga, Ichiro Kishimi",Length: 6 hrs and 50 mins
15. Karma: A Yogi’s Guide to Crafting Your Own Destiny,"Written by: Sadhguru, Leslie Howard",Length: 8 hrs and 56 mins
16. Hyperfocus,Written by: Chris Bailey,Length: 6 hrs and 39 mins
17. Don't Believe Everything You Think,Written by: Joseph Nguyen,Length: 2 hrs and 16 mins
18. Autobiography of a Yogi,Written by: Paramahansa Yogananda,Length: 17 hrs and 50 mins
19. The Intelligent Investor Rev Ed.,Written by: Benjamin Graham,Length: 17 hrs and 48 mins
20. The 4-Hour Body,Written by: Timothy Ferriss,Length: 3 hrs and 51 mins
21. Energize Your Mind,Written by: Gaur Gopal Das,Length: 10 hrs and 20 mins
22. The Hidden Hindu,Written by: Akshat Gupta,Length: 5 hrs and 36 mins
23. Never Split the Difference,"Written by: Chris Voss, Tahl Raz",Length: 8 hrs and 7 mins
"24. Think Faster, Talk Smarter",Written by: Matt Abrahams,Length: 7 hrs and 11 mins
25. Be Useful,Written by: Arnold Schwarzenegger,Length: 6 hrs and 19 mins
26. Life's Amazing Secrets,Written by: Gaur Gopal Das,Length: 6 hrs and 25 mins
27. The 5 AM Club,Written by: Robin Sharma,Length: 11 hrs and 4 mins
28. The Alchemist,Written by: Paulo Coelho,Length: 4 hrs
29. The Diary of a CEO,Written by: Steven Bartlett,Length: 6 hrs and 45 mins
30. The Almanack of Naval Ravikant,"Written by: Eric Jorgenson, Tim Ferriss",Length: 4 hrs and 53 mins
31. Think and Grow Rich,Written by: Napoleon Hill,Length: 10 hrs and 15 mins
32. Zero to One,"Written by: Peter Thiel, Blake Masters",Length: 4 hrs and 50 mins
33. The Bhagavad Gita,Written by: Eknath Easwaran,Length: 8 hrs and 54 mins
34. Chanakya Neeti,Written by: Acharya Chanakya,Length: 5 hrs and 2 mins
35. The Power of Now,Written by: Eckhart Tolle,Length: 7 hrs and 37 mins
36. Dopamine Detox,Written by: Thibaut Meurisse,Length: 1 hr and 5 mins
37. The Secret of Secrets,Written by: Osho,Length: 53 hrs and 32 mins
38. 12 Rules for Life,Written by: Jordan B. Peterson,Length: 15 hrs and 56 mins
"39. Men Are from Mars, Women Are from Venus",Written by: John Gray,Length: 9 hrs and 28 mins
"40. Harry Potter and the Philosopher's Stone, Book 1",Written by: J.K. Rowling,Length: 8 hrs and 25 mins
