date,home_team,score,away_team
21-08-2023,Alaves,4 - 3,Sevilla
02-09-2023,Alaves,1 - 0,Valencia
22-09-2023,Alaves,0 - 2,Ath Bilbao
01-10-2023,Alaves,0 - 2,Osasuna
08-10-2023,Alaves,1 - 1,Betis
14-08-2023,Cadiz,1 - 0,Alaves
28-08-2023,Getafe,1 - 0,Alaves
15-09-2023,Vallecano,2 - 0,Alaves
28-09-2023,Celta,1 - 1,Alaves
22-10-2023,Villarreal,? - ?,Alaves
11-08-2023,Almeria,0 - 2,Vallecano
19-08-2023,Almeria,1 - 3,Real Madrid
01-09-2023,Almeria,2 - 3,Celta
23-09-2023,Almeria,2 - 2,Valencia
01-10-2023,Almeria,3 - 3,Granada
26-08-2023,Cadiz,1 - 1,Almeria
17-09-2023,Villarreal,2 - 1,Almeria
26-09-2023,Sevilla,5 - 1,Almeria
06-10-2023,Ath Bilbao,3 - 0,Almeria
22-10-2023,Girona,? - ?,Almeria
12-08-2023,Ath Bilbao,0 - 2,Real Madrid
27-08-2023,Ath Bilbao,4 - 2,Betis
16-09-2023,Ath Bilbao,3 - 0,Cadiz
27-09-2023,Ath Bilbao,2 - 2,Getafe
06-10-2023,Ath Bilbao,3 - 0,Almeria
19-08-2023,Osasuna,0 - 2,Ath Bilbao
03-09-2023,Mallorca,0 - 0,Ath Bilbao
22-09-2023,Alaves,0 - 2,Ath Bilbao
30-09-2023,Sociedad,3 - 0,Ath Bilbao
22-10-2023,Barcelona,? - ?,Ath Bilbao
14-08-2023,Ath Madrid,3 - 1,Granada
24-09-2023,Ath Madrid,3 - 1,Real Madrid
01-10-2023,Ath Madrid,3 - 2,Cadiz
08-10-2023,Ath Madrid,2 - 1,Sociedad
20-08-2023,Betis,0 - 0,Ath Madrid
28-08-2023,Vallecano,0 - 7,Ath Madrid
16-09-2023,Valencia,3 - 0,Ath Madrid
28-09-2023,Osasuna,0 - 2,Ath Madrid
21-10-2023,Celta,0 - 3,Ath Madrid
20-08-2023,Barcelona,2 - 0,Cadiz
16-09-2023,Barcelona,5 - 0,Betis
23-09-2023,Barcelona,3 - 2,Celta
29-09-2023,Barcelona,1 - 0,Sevilla
22-10-2023,Barcelona,? - ?,Ath Bilbao
13-08-2023,Getafe,0 - 0,Barcelona
27-08-2023,Villarreal,3 - 4,Barcelona
03-09-2023,Osasuna,1 - 2,Barcelona
26-09-2023,Mallorca,2 - 2,Barcelona
08-10-2023,Granada,2 - 2,Barcelona
20-08-2023,Betis,0 - 0,Ath Madrid
02-09-2023,Betis,1 - 0,Vallecano
24-09-2023,Betis,1 - 1,Cadiz
01-10-2023,Betis,3 - 0,Valencia
13-08-2023,Villarreal,1 - 2,Betis
27-08-2023,Ath Bilbao,4 - 2,Betis
16-09-2023,Barcelona,5 - 0,Betis
